SCHOOL_ID,SCHOOL_NM,the_geom,UNIT_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
609695,AMUNDSEN HS,POINT (-87.67942906566425 41.975068271521494),1210,5110 N DAMEN AVE,HS,"9, 10, 11, 12",High School,-87.6794290652,41.9750682728
609728,ROOSEVELT HS,POINT (-87.71481790381694 41.96478672951769),1520,3436 W WILSON AVE,HS,"9, 10, 11, 12",High School,-87.7148179044,41.9647867305
609737,VON STEUBEN HS,POINT (-87.71344139688988 41.97318415020839),1610,5039 N KIMBALL AVE,HS,"9, 10, 11, 12",High School,-87.713441397,41.9731841515
609749,NORTHSIDE HS,POINT (-87.70876295728092 41.98131452884572),1740,5501 N KEDZIE AVE,HS,"9, 10, 11, 12",High School,-87.7087629571,41.9813145294
609852,CHAPPELL,POINT (-87.68326476964306 41.975935455109436),2750,2135 W FOSTER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6832647692,41.9759354562
610343,ASPIRA HAUGAN MIDDLE,POINT (-87.72182548519669 41.966446827380345),3500,3729 W LELAND AVE,MS,"6, 7, 8",Charter,-87.7218254848,41.9664468281
610046,LYON,POINT (-87.77722931167835 41.93419112791134),4560,2941 N MCVICKER AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7772293113,41.9341911292
610145,REINBERG,POINT (-87.76903774427106 41.94301797589825),5600,3425 N MAJOR AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7690377437,41.943017977
610179,SMYSER,POINT (-87.7819194045091 41.958868961924225),5960,4310 N MELVINA AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7819194041,41.9588689626
610201,"THORP, O",POINT (-87.77763043650064 41.948530154906955),6190,6024 W WARWICK AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.777630436,41.9485301555
610248,CHICAGO ACADEMY ES,POINT (-87.77641317626781 41.942138147103705),6670,3400 N AUSTIN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.7764131758,41.9421381478
610340,CHICAGO ACADEMY HS,POINT (-87.77641317626781 41.942138147103705),7770,3400 N AUSTIN AVE,HS,"9, 10, 11, 12",High School,-87.7764131758,41.9421381478
610521,DAVIS MAGNET,POINT (-87.66647490706333 41.77122194639395),7000,6730 S PAULINA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6664749073,41.7712219469
609913,GOODLOW,POINT (-87.67554642525567 41.78118400777913),3290,2040 W 62ND ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6755464249,41.7811840085
609711,HARPER HS,POINT (-87.66903431310013 41.7751249382835),1360,6520 S WOOD ST,HS,"9, 10, 11, 12",High School,-87.6690343135,41.7751249391
610285,WOODS,POINT (-87.65459759008884 41.78119513963979),7080,6206 S RACINE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6545975906,41.7811951404
610391,LINDBLOM HS,POINT (-87.67160686483365 41.78204169984068),7110,6130 S WOLCOTT AVE,HS,"9, 10, 11",High School,-87.6716068648,41.782041701
609745,SOUTHSIDE OCC HS,POINT (-87.67589179484263 41.7598531780834),1700,7342 S HOYNE AVE,HS,"9, 10, 11, 12",High School,-87.6758917954,41.7598531791
609775,ALTGELD,POINT (-87.6582036707504 41.76503473796905),2050,1340 W 71ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6582036706,41.7650347387
609869,COPERNICUS,POINT (-87.6571142162458 41.784681592997664),2900,6010 S THROOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6571142157,41.7846815937
609897,EARLE,POINT (-87.66786899899142 41.78231043234791),3130,6121 S HERMITAGE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.667868999,41.7823104329
609941,RANDOLPH,POINT (-87.67591054247687 41.76061488811764),3550,7316 S HOYNE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6759105423,41.7606148891
609986,HENDERSON,POINT (-87.67183231366329 41.790592088063114),3920,5650 S WOLCOTT AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6718323139,41.7905920886
610161,BONTEMPS,POINT (-87.65633725408034 41.78864169874851),5750,1241 W 58TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6563372543,41.7886416995
610108,O'TOOLE,POINT (-87.67504161976349 41.77416461911708),5230,6550 S SEELEY AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6750416203,41.7741646201
610436,PROVIDENCE ENGLEWOOD,POINT (-87.66405080189355 41.775366440144566),6700,6515 S ASHLAND AVE,ES,"K, 1, 2, 3, 4, 5, 6",Charter,-87.6640508024,41.7753664407
610347,CLAREMONT,POINT (-87.68105999090736 41.77746935319134),7830,2300 W 64TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6810599907,41.777469354
609977,WOODLAWN,POINT (-87.59444697735067 41.77336507394407),3860,6657 S KIMBARK AVE,ES,"K, 1, 2, 3, 4, 5, 6",Elementary School,-87.5944469779,41.7733650744
609837,CARNEGIE,POINT (-87.59079541444126 41.783327158412064),2630,1414 E 61ST PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5907954148,41.7833271589
609916,FERMI,POINT (-87.59039681299305 41.76779626683284),3320,1415 E 70TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.5903968133,41.7677962679
609713,HYDE PARK HS,POINT (-87.58656001962476 41.78225767218122),1390,6220 S STONY ISLAND AVE,HS,"9, 10, 11, 12",High School,-87.5865600202,41.7822576728
610080,CICS - WASHINGTON PARK,POINT (-87.62212343682552 41.78361609120996),2290,6105 S MICHIGAN AVE,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6221234366,41.7836160924
609813,BROWNELL,POINT (-87.62180093905368 41.77161944714351),2410,6741 S MICHIGAN AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6218009391,41.7716194481
